Model,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Insurance,number_of_photos,Car Condition,Selling Price
HondaBrio1.2SMTI,87755,2012,First Owner,Petrol,MANUAL,20/07/2021,9,4,272999
MarutiSwiftDzireVDIBS,88835,2014,First Owner,Diesel,MANUAL,Expired,9,43,447072
RenaultKwidRXT,33732,2016,First Owner,Petrol,MANUAL,16/06/2021,7,46,347899
MarutiWagonR1.0,53279,2015,First Owner,Petrol,MANUAL,24/03/2021,6,42,87
HondaAmaze1.5SMTI,70147,2013,Second Owner,Diesel,MANUAL,Expired,8,41,436299
HondaCitySMT,86866,2009,Second Owner,Petrol,MANUAL,12/03/2021,9,4,241199
HyundaiVernaFLUIDIC1.6SXCRDI,129017,2011,First Owner,Diesel,MANUAL,Expired,7,42,415299
HondaCityVMT,127472,2010,First Owner,Petrol + CNG,MANUAL,29/09/2021,9,43,300999
HyundaiElitei20SPORTZ(O),62516,2014,First Owner,Diesel,MANUAL,26/11/2020,3,42,617799
MarutiSwiftDzireVXI1.2BS,117248,2014,First Owner,Petrol,MANUAL,19/04/2021,7,42,365999
Hyundaii10MAGNA1.2,26474,2009,First Owner,Petrol,AUTOMATIC,01/07/2021,26,41,330799
MarutiAlto,44374,2010,Third Owner,Petrol,MANUAL,22/11/2021,2,47,160099
HyundaiCreta1.6CRDISXPLUS,58298,2017,Second Owner,Diesel,AUTOMATIC,05/10/2021,9,46,1035199
MarutiAlto800,58283,2018,First Owner,Petrol,MANUAL,09/08/2021,5,46,269099
MarutiAlto,13069,2019,First Owner,Petrol,MANUAL,05/08/2021,11,48,372799
MarutiWagonR1.0,39541,2013,Second Owner,Petrol,MANUAL,07/08/2021,6,42,333999
HyundaiSantroXingGL,96552,2014,First Owner,Petrol + CNG,MANUAL,18/03/2021,3,42,286899
HondaCitySMT,46870,2012,Third Owner,Petrol,MANUAL,07/03/2021,9,41,420399
MarutiCelerio,42704,2016,First Owner,Petrol,MANUAL,16/03/2021,5,49,388899
Hyundaii20Active1.2,53425,2015,First Owner,Petrol,MANUAL,07/01/2022,18,45,559592
VolkswagenPoloCOMFORTLINE1.2L,27276,2017,First Owner,Petrol,MANUAL,11/10/2020,9,46,604106
MarutiZenEstilo,45920,2007,First Owner,Petrol,MANUAL,21/12/2021,11,4,151899
TataIndicaVistaAURA1.3,150758,2009,First Owner,Diesel,MANUAL,28/05/2021,6,44,195299
RenaultKwid,36873,2016,First Owner,Petrol,MANUAL,Insurance Expired,10,46,269639
MarutiAlto,91528,2009,First Owner,Petrol + LPG,MANUAL,28/03/2021,6,38,111699
MarutiSwiftLXI,36610,2015,First Owner,Petrol + CNG,MANUAL,17/09/2021,3,45,351099
MarutiSwift,133175,2011,First Owner,Diesel,MANUAL,Expired,17,42,281999
VolkswagenPoloCOMFORTLINE1.2L,69745,2013,First Owner,Petrol,MANUAL,29/07/2021,5,44,317999
MarutiAlto,58267,2008,First Owner,Petrol,MANUAL,07/10/2021,5,43,156325
FordFigo1.2ZXI,35658,2014,Third Owner,Petrol,MANUAL,Insurance Expired,8,43,200628
RenaultKwidCLIMBER1.0,8969,2018,First Owner,Petrol,KA05,Expired,18,48,414599
MarutiEeco5STRCNGWITH,46837,2018,First Owner,Petrol + CNG,MANUAL,17/05/2021,7,49,317799
MarutiWagonRStingray,9296,2014,First Owner,Petrol,MANUAL,28/11/2020,12,45,361499
MarutiWagonR1.0,117905,2011,First Owner,Petrol,MANUAL,29/03/2021,3,41,233499
MarutiSwift,190778,2009,Second Owner,Diesel,MANUAL,Expired,1,39,228599
Hyundaii10SPORTZ1.1,30532,2015,First Owner,Petrol,MANUAL,21/09/2021,13,44,324699
FordEcosport1.5TREND,62253,2013,First Owner,Diesel,MANUAL,12/07/2021,11,42,388180
MarutiSwiftDzireVXI1.2BS,40055,2012,First Owner,Petrol,MANUAL,27/08/2021,16,43,312799
MarutiSwiftDzire,90474,2013,First Owner,Diesel,MANUAL,29/06/2021,4,41,330099
MarutiAlto,39460,2010,First Owner,Petrol,MANUAL,25/07/2021,16,4,124299
MarutiAltoK10,25563,2013,First Owner,Petrol,MANUAL,28/03/2021,14,45,229499
HyundaiElitei20SPORTZ,68730,2017,Second Owner,Diesel,MANUAL,21/07/2021,27,44,554899
HondaJazz1.2SV,22898,2015,First Owner,Petrol,MANUAL,30/07/2021,4,45,482299
MarutiBalenoDELTADDIS,43702,2016,First Owner,Diesel,MANUAL,Zero_Dep,5,47,524699
SkodaRapidELEGANCE1.6MPFI,65919,2014,Third Owner,Petrol,AUTOMATIC,22/03/2021,21,41,483499
MarutiErtigaVDI,91724,2012,Second Owner,Diesel,MANUAL,15/01/2021,6,44,413099
MarutiRitz,54431,2009,First Owner,Petrol,MANUAL,31/07/2021,6,45,327999
HyundaiEonMAGNA,110501,2013,First Owner,Petrol,MANUAL,Expired,9,42,194999
Hyundaii20SPORTZ1.2,44142,2011,Third Owner,Petrol,MANUAL,28/05/2021,9,42,333499
MarutiSwift,24093,2014,First Owner,Petrol,MANUAL,17/10/2021,4,45,546799
HyundaiGrandi10ASTAAT1.2KAPPA,30537,2015,Second Owner,Petrol,MANUAL,03/07/2021,6,45,451799
HyundaiVerna1.6SXVTVTAT,1827,2018,First Owner,Petrol,AUTOMATIC,21/04/2021,4,49,1224699
MarutiSwift,102024,2012,First Owner,Diesel,MANUAL,18/12/2020,5,43,54
HondaCitySMT,39947,2010,First Owner,Petrol,MANUAL,13/07/2021,6,45,297867
RenaultDuster85PS,59607,2015,First Owner,Diesel,MANUAL,Expired,5,43,551899
MarutiAlto,57358,2009,First Owner,Petrol,MANUAL,24/04/2021,2,45,150299
HondaCivic1.8V,61886,2007,Second Owner,Petrol,MANUAL,24/06/2021,9,43,201208
Hyundaii20SPORTZ1.2,107384,2012,First Owner,Petrol,MANUAL,08/12/2020,19,4,279899
MarutiRitz,86813,2009,Third Owner,Petrol,MANUAL,02/09/2021,19,4,143099
MarutiSwift,29624,2012,First Owner,Petrol,MANUAL,14/03/2021,7,43,450358
MarutiSwift,80935,2012,First Owner,Diesel,MANUAL,27/08/2021,5,43,318199
VolkswagenPoloCOMFORTLINE1.2L,60295,2016,Second Owner,Petrol,MANUAL,24/11/2021,29,43,443699
HyundaiGrandi10SPORTZ1.2KAPPA,77031,2016,First Owner,Petrol,MANUAL,09/02/2021,5,44,421699
MarutiCiazVDI,78595,2015,First Owner,Diesel,MANUAL,08/02/2021,7,45,470599
HyundaiEon,65435,2012,First Owner,Petrol,MANUAL,04/01/2022,2,43,271999
MarutiErtigaVXISMART,8816,2019,First Owner,Petrol,GJ18,Zero_Dep,4,48,874599
Hyundaii20SPORTZ1.2,56736,2012,First Owner,Petrol,MANUAL,27/06/2021,6,43,322799
MarutiEeco5STRCNGWITHAC,44254,2017,First Owner,Petrol + CNG,MANUAL,Expired,15,45,293399
HyundaiCreta1.4EPLUS,48507,2019,First Owner,Diesel,HR51,Expired,37,47,1070040
MarutiAlto,55899,2007,Third Owner,Petrol,MANUAL,08/10/2021,5,39,189999
Hyundaii20SPORTZO1.4,87995,2012,Third Owner,Diesel,MANUAL,28/05/2021,10,44,301399
Hyundaii10MAGNA1.2,48246,2011,First Owner,Petrol,MANUAL,26/07/2021,8,42,226599
MarutiErtigaVDI,51981,2013,First Owner,Diesel,MANUAL,24/04/2021,5,43,492724
MarutiCiazZETA1.4,47051,2018,First Owner,Petrol,MANUAL,05/07/2021,13,45,657499
HondaBrio1.2SMTI,108048,2012,First Owner,Petrol,MANUAL,08/03/2021,8,44,264999
HyundaiSantroXing,33828,2013,Second Owner,Petrol,MANUAL,29/12/2020,3,42,298899
MarutiSwiftDzireVXI1.2BS,148847,2013,First Owner,Petrol,MANUAL,07/01/2022,15,43,312699
Hyundaii20ASTA1.4,69521,2013,First Owner,Diesel,MANUAL,21/06/2021,8,45,377799
MarutiCelerio,4370,2019,First Owner,Petrol,MANUAL,19/03/2021,5,49,451499
MarutiSwiftVXI,10138,2019,First Owner,Petrol,AUTOMATIC,12/03/2021,4,49,748585
MahindraXUV500W8,84226,2014,First Owner,Diesel,MANUAL,30/10/2021,7,43,707999
HondaAmaze1.5SMTI,89309,2014,First Owner,Diesel,MANUAL,05/05/2021,6,4,374500
MarutiWagonR1.0,68719,2013,First Owner,Petrol,MANUAL,03/07/2021,17,43,289499
MarutiBalenoALPHADDIS,61489,2017,First Owner,Diesel,MANUAL,09/08/2021,7,45,687299
MarutiSwiftDzireVDI,34078,2016,First Owner,Diesel,KA50,Zero_Dep,9,46,655099
Hyundaii10SPORTZ1.2,20524,2013,First Owner,Petrol,MANUAL,Expired,14,45,434399
RenaultKwidRXL1.0EASY-R,29546,2017,Second Owner,Petrol,KA01,Comp,9,45,351399
MahindraScorpio,50968,2015,First Owner,Diesel,MANUAL,Expired,10,45,806599
MarutiSwiftDzireVDIBS,75129,2014,First Owner,Diesel,MANUAL,15/07/2021,10,44,520399
MarutiSwiftDzireVXI1.2BS,50834,2012,Second Owner,Petrol,MANUAL,23/05/2021,15,41,336999
Hyundaii20MAGNAO,85191,2010,First Owner,Petrol,MANUAL,11/05/2021,12,41,197799
MarutiRitz,105576,2011,First Owner,Diesel,MANUAL,21/11/2021,13,4,313599
HondaAmaze1.5VXMTI,99296,2013,First Owner,Diesel,MANUAL,27/05/2021,26,41,393899
HondaJazz1.2V,10430,2016,Second Owner,Petrol,AUTOMATIC,18/07/2021,11,4,579399
MarutiEeco5STRWITHAC,28319,2017,Second Owner,Petrol + CNG,MANUAL,20/06/2021,6,46,356852
HondaJazz1.2BASEI,83659,2011,First Owner,Petrol,MANUAL,01/07/2021,2,43,275399
MarutiSwift,78289,2013,First Owner,Petrol + CNG,MANUAL,01/01/2021,9,44,353099
HondaAmaze1.5VXMTI,197997,2013,First Owner,Diesel,MANUAL,16/06/2021,6,39,333399
HyundaiGrandi101.2ASTA(O),11636,2016,First Owner,Petrol,AUTOMATIC,Expired,2,46,540762
MarutiAltoK10,18946,2016,First Owner,Petrol,MANUAL,14/11/2021,23,47,267599
HondaBrio1.2SMTI,70498,2013,First Owner,Petrol,MANUAL,08/06/2021,10,43,235458
MarutiAlto800,19130,2017,First Owner,Petrol,MANUAL,11/01/2022,17,48,309199
HondaBrio1.2VMTI,58581,2012,First Owner,Petrol,MANUAL,07/11/2021,13,4,307559
MarutiSwiftVDIGlory,35499,2015,First Owner,Diesel,HR29,Third_party,19,48,540399
HondaCitySMT,194040,2008,Second Owner,Petrol + CNG,MANUAL,25/11/2021,1,39,210834
MahindraScorpio,24847,2014,First Owner,Diesel,MANUAL,10/01/2022,10,48,921499
MarutiSwift,46070,2014,First Owner,Petrol,MANUAL,Expired,8,42,437699
MarutiWagonR1.0LXI,32768,2014,First Owner,Petrol + CNG,MANUAL,27/01/2021,10,46,329299
MarutiAlto800,30871,2015,First Owner,Petrol,MANUAL,01/04/2021,5,46,272974
MarutiBalenoDELTA1.2,26568,2016,Second Owner,Petrol,MANUAL,23/06/2021,3,47,548199
HondaAmaze1.2VXMTI,68821,2013,First Owner,Petrol,MANUAL,05/11/2021,3,42,6
ToyotaInnova2.5GX8STRBS,80584,2014,First Owner,Diesel,MANUAL,02/01/2021,30,44,751199
Hyundaii20SPORTZ1.2,39306,2010,First Owner,Petrol,MANUAL,13/10/2021,6,41,229599
MarutiSwift,123493,2009,Second Owner,Diesel,MANUAL,27/01/2021,3,37,229399
MarutiCelerioVXI,55037,2015,First Owner,Petrol,AUTOMATIC,11/05/2021,15,45,409099
MarutiWagonR1.0,60385,2010,First Owner,Petrol,MANUAL,02/11/2021,7,42,244506
HyundaiVernaFLUIDIC1.6SXCRDI,74271,2013,First Owner,Diesel,MANUAL,Expired,7,44,420499
MarutiVitaraBrezza,32575,2019,First Owner,Diesel,MANUAL,28/02/2021,4,48,789304
VolkswagenVentoHIGHLINE,62752,2010,First Owner,Petrol,MANUAL,19/09/2021,5,41,252299
Hyundaii20SPORTZ1.2,131343,2011,First Owner,Petrol,MANUAL,21/10/2021,14,43,252499
DatsunRediGoT,4730,2017,First Owner,Petrol,MANUAL,19/08/2021,9,49,300899
MarutiSwiftVDI,62806,2015,First Owner,Diesel,MANUAL,02/07/2021,8,42,409199
MarutiIGNISZETA1.2K12,19084,2017,Second Owner,Petrol,AUTOMATIC,04/09/2021,3,46,526099
MarutiZenEstilo,64268,2008,Second Owner,Petrol,MANUAL,Expired,18,39,116199
MarutiAltoK10,24612,2015,Second Owner,Petrol,MANUAL,Expired,20,45,313199
TataTiagoXZ1.2,24990,2016,First Owner,Petrol,MANUAL,Expired,5,45,402647
Hyundaii10MAGNA,98364,2009,Second Owner,Petrol,MANUAL,25/08/2021,9,39,209499
HondaCitySVMT,93529,2014,Second Owner,Petrol,MANUAL,Comp,8,42,518499
HondaCityVXCVT,50552,2014,First Owner,Petrol,AUTOMATIC,08/01/2021,4,48,649499
MarutiAltoK10,32089,2011,Second Owner,Petrol,MANUAL,03/11/2021,8,44,173699
HondaBrio1.2V,32830,2012,Third Owner,Petrol,AUTOMATIC,23/01/2022,11,43,253499
HondaBrio1.2VXMTI,56335,2016,First Owner,Petrol,MANUAL,13/10/2021,10,43,423299
MarutiSwift,66445,2012,First Owner,Diesel,MANUAL,27/12/2021,10,42,306720
MarutiCelerio,25807,2014,First Owner,Petrol,MANUAL,03/11/2021,2,4,269399
BMW3Series,67267,2012,First Owner,Diesel,AUTOMATIC,Comp,45,44,891599
MarutiSwiftDzireVXI1.2BS,34414,2012,First Owner,Petrol,MANUAL,Expired,13,41,364499
MarutiWagonR,60443,2010,First Owner,Petrol,MANUAL,08/09/2021,1,44,294599
Hyundaii10MAGNA1.1,44670,2015,Third Owner,Petrol,MANUAL,Expired,15,44,274799
MarutiSwiftDzireVDIBS,72388,2014,First Owner,Diesel,MANUAL,08/02/2021,7,43,406899
HyundaiNEWSANTROASTA1.1,6203,2019,First Owner,Petrol,KA05,Zero_Dep,6,49,517199
VolkswagenPoloCOMFORTLINE1.2L,101779,2016,First Owner,Petrol,MANUAL,05/12/2020,8,43,380699
MarutiEeco5STRWITHAC,28457,2018,First Owner,Petrol,MANUAL,26/02/2021,5,46,410399
MarutiWagonR1.0,68927,2014,First Owner,Petrol,MANUAL,29/06/2021,16,43,289399
MarutiSwiftDzireVDIBS,38235,2012,First Owner,Diesel,MANUAL,27/09/2021,8,46,461599
MarutiWagonR1.0,93590,2010,First Owner,Petrol,MANUAL,20/12/2021,4,4,228099
HondaAmaze1.5SMTI,87405,2013,First Owner,Diesel,MANUAL,Expired,12,42,296199
FordEcosport1.5AMBIENTE,104023,2014,First Owner,Diesel,MANUAL,24/03/2021,7,44,409599
MarutiEeco5STRWITHAC,24962,2017,Second Owner,Petrol,MANUAL,06/02/2021,7,47,378499
HyundaiGrandi10ASTA1.1(O),33243,2016,Second Owner,Diesel,MANUAL,29/05/2021,15,45,487799
MarutiWagonR1.0LXI,78330,2014,Second Owner,Petrol + CNG,MANUAL,18/11/2021,17,45,312289
HondaAmaze1.5VXMTI,63748,2013,Third Owner,Diesel,MANUAL,04/11/2021,8,42,318899
Hyundaii10MAGNA1.2,44802,2013,Second Owner,Petrol,MANUAL,17/03/2021,13,43,346999
MarutiSwiftDzireVXI1.2BS,82666,2012,First Owner,Petrol,MANUAL,28/03/2021,5,42,330220
MarutiSwiftDzireVDIBS,74785,2012,Second Owner,Diesel,MANUAL,19/04/2021,14,41,287999
MarutiWagonR1.0,30401,2015,First Owner,Petrol,MANUAL,13/07/2021,4,43,349899
MarutiSwiftVXI,27412,2016,Second Owner,Petrol,MANUAL,28/10/2021,13,44,464510
MarutiSwiftDzireLXI1.2BS,41541,2012,First Owner,Petrol,MANUAL,15/02/2022,12,45,295362
MarutiWagonR1.0,64370,2011,Third Owner,Petrol + CNG,MANUAL,Expired,7,43,197438
MarutiVitaraBrezzaLDI,57304,2016,Second Owner,Diesel,MANUAL,24/09/2021,23,46,583999
MarutiAlto,6943,2011,Second Owner,Petrol,MANUAL,10/04/2021,2,42,228499
MarutiRitz,48907,2009,First Owner,Petrol,MANUAL,22/08/2021,4,44,203068
VolkswagenPoloHIGHLINE1.2L,77103,2012,Second Owner,Diesel,MANUAL,29/04/2021,6,41,327099
ToyotaEtiosLivaD4D,87827,2012,First Owner,Diesel,MANUAL,15/04/2021,7,43,282199
MarutiSwiftDzireVXI1.2BS,52719,2012,Second Owner,Petrol,MANUAL,24/01/2021,8,45,297199
MarutiWagonR1.0LXI,51564,2015,First Owner,Petrol + CNG,MANUAL,14/04/2021,28,43,358999
HondaCitySMT,98697,2011,First Owner,Petrol,MANUAL,05/05/2021,7,42,305199
VolkswagenVentoHIGHLINE,48128,2011,First Owner,Petrol,MANUAL,27/02/2021,9,41,264999
HyundaiEonERA,30522,2018,First Owner,Petrol,MANUAL,09/03/2021,8,45,315999
MarutiCelerioX,31973,2018,First Owner,Petrol,MANUAL,21/09/2021,7,45,432199
RenaultKwid,13865,2016,First Owner,Petrol,MANUAL,10/07/2021,10,45,316199
MarutiCelerioZXI,34587,2015,Second Owner,Petrol,AUTOMATIC,13/06/2021,8,46,435299
MarutiSwift,103671,2014,First Owner,Diesel,MANUAL,18/10/2021,4,4,467
HyundaiXcentS,29978,2015,First Owner,Petrol,MANUAL,02/07/2021,33,42,421608
MarutiAltoK10,95412,2015,First Owner,Petrol,MANUAL,21/07/2021,4,41,246499
MarutiAlto800,23280,2018,First Owner,Petrol,MANUAL,13/03/2021,11,47,269199
HyundaiCreta1.6SXPLUS,56830,2016,Second Owner,Petrol,HR26,Comp,4,48,1043299
MarutiBalenoDELTA1.2,20092,2016,First Owner,Petrol,MANUAL,20/01/2021,9,48,524199
Hyundaii20SPORTZ1.2,61801,2012,First Owner,Petrol,MANUAL,28/05/2021,5,44,481199
MarutiSwift,29075,2017,First Owner,Petrol,MANUAL,15/01/2022,8,47,528799
MarutiErtigaVDI,6993,2018,First Owner,Diesel,MANUAL,06/11/2021,4,46,931499
MarutiCelerioVXI,51639,2016,First Owner,Petrol,AUTOMATIC,27/10/2021,10,45,333347
HyundaiElitei20ASTA,11962,2018,First Owner,Petrol,MANUAL,20/11/2021,4,48,672599
HyundaiSantroXingGL,33437,2014,First Owner,Petrol,MANUAL,11/01/2021,4,44,258199
SkodaRapid1.6TDIMT,55140,2013,First Owner,Diesel,MANUAL,31/12/2020,8,45,353299
FordEcosport1.0ECOBOOST,35525,2014,Second Owner,Petrol,MANUAL,Expired,20,41,423799
MarutiAltoK10,61587,2012,First Owner,Petrol,MANUAL,17/07/2021,12,44,227299
Hyundaii10MAGNA1.2,56697,2010,Second Owner,Petrol,MANUAL,01/02/2021,18,44,242599
VolkswagenVentoHIGHLINETDI,88336,2016,First Owner,Diesel,AUTOMATIC,Expired,9,43,616999
RenaultKwidRXT1.0EASY-RAT,17990,2018,First Owner,Petrol,AUTOMATIC,18/12/2021,10,47,443999
HyundaiEonERA,50772,2015,First Owner,Petrol,MANUAL,01/12/2021,8,46,248499
HondaBrio1.2VXMTI,27624,2015,Second Owner,Petrol,MANUAL,29/06/2021,3,41,317199
MarutiSwift,142099,2012,First Owner,Diesel,MANUAL,23/10/2021,3,44,311399
ToyotaFortuner3.0AT,172356,2012,Third Owner,Diesel,AUTOMATIC,28/09/2021,10,43,1054799
MarutiSwift,81523,2011,Second Owner,Petrol,MANUAL,26/09/2021,5,43,294046
MarutiSwiftDzireVXI1.2BS,45247,2012,First Owner,Petrol,MANUAL,01/05/2021,7,42,364499
HyundaiEonERA,40111,2015,Third Owner,Petrol,MANUAL,11/01/2021,7,43,251899
MarutiRitzZXI,18966,2015,First Owner,Petrol,MANUAL,09/01/2022,14,46,518471
MarutiSwift,137850,2013,First Owner,Diesel,MANUAL,11/09/2020,14,44,286199
MarutiBalenoDELTA1.2,45880,2016,First Owner,Petrol,MANUAL,02/08/2021,22,46,499799
MarutiCelerioVXI,109531,2018,First Owner,Petrol + CNG,MANUAL,31/07/2021,8,44,444144
MarutiSwiftVXI,35078,2017,First Owner,Petrol,MANUAL,19/10/2021,18,44,592875
HyundaiElitei20ASTA,2594,2018,First Owner,Petrol,MANUAL,11/03/2021,4,49,745699
HyundaiSantroXing,43520,2008,Second Owner,Petrol,MANUAL,06/01/2021,31,4,209499
MarutiEeco5STRCNGWITHAC,52886,2018,First Owner,Petrol + CNG,MANUAL,25/03/2021,17,46,335193
HyundaiCreta1.4EPLUS,55210,2017,First Owner,Diesel,DL10,Zero_Dep,15,46,819099
MarutiSwiftDzireVDI,34247,2017,First Owner,Diesel,MH04,Comp,3,45,634699
HondaAccord2.4ATI,163326,2009,Second Owner,Petrol,AUTOMATIC,Expired,15,36,291099
Hyundaii10ERA1.1,21614,2013,Second Owner,Petrol,MANUAL,14/04/2021,6,39,227899
MarutiAltoK10VXI(O),6111,2018,First Owner,Petrol,KA05,Zero_Dep,7,49,426899
HondaCityV,119791,2018,First Owner,Petrol,UP14,Zero Depreciation,8,46,979661
RenaultDuster85PSRXL,63803,2014,First Owner,Diesel,MANUAL,12/03/2021,7,43,413600
MarutiDzire,4595,2017,First Owner,Petrol,MANUAL,08/12/2021,10,49,612699
MarutiRitz,116148,2010,Second Owner,Petrol,MANUAL,23/02/2021,13,38,160399
HondaBrio1.2SMTI,58058,2014,First Owner,Petrol,MANUAL,21/03/2021,4,43,304899
RenaultDusterRXZDIESEL,141346,2013,First Owner,Diesel,MANUAL,09/12/2020,10,39,588899
HondaAmaze1.5SMTI,74085,2013,First Owner,Diesel,MANUAL,19/06/2021,16,43,276799
MarutiVitaraBrezza,21239,2018,First Owner,Diesel,MANUAL,30/08/2021,10,48,743899
HyundaiEonMAGNA,42346,2014,First Owner,Petrol,MANUAL,28/04/2021,5,42,217999
MarutiWagonR1.0LXI,56849,2012,Third Owner,Petrol + CNG,MANUAL,Expired,3,37,180899
MarutiDzire,25826,2018,First Owner,Petrol,MANUAL,23/08/2021,22,46,546599
Hyundaii20SPORTZ1.2,80781,2011,Third Owner,Petrol,MANUAL,07/05/2021,6,4,312099
Hyundaii20MAGNAO1.4,51472,2013,First Owner,Diesel,MANUAL,04/08/2021,12,41,447399
HondaBrio1.2VXATI,21479,2017,First Owner,Petrol,AUTOMATIC,20/03/2021,8,46,474899
RenaultDuster85PS,132735,2013,First Owner,Diesel,MANUAL,20/09/2021,15,42,320799
MarutiEeco5STRWITHAC,23627,2017,First Owner,Petrol + CNG,MANUAL,Expired,7,44,364299
MarutiErtigaVXI,34489,2018,First Owner,Petrol + CNG,MANUAL,08/08/2021,31,44,802599
HyundaiGrandi10ASTA1.2KAPPA,12833,2015,First Owner,Petrol,MANUAL,23/02/2021,6,46,487199
DatsunRediGo,21683,2016,First Owner,Petrol,MANUAL,02/08/2021,4,4,245999
MarutiAltoK10,51984,2014,First Owner,Petrol,MANUAL,18/01/2021,20,41,335899
RenaultKwidRXT,22568,2015,Third Owner,Petrol,MANUAL,Expired,7,48,250028
FordFigo1.4EXI,161157,2011,Second Owner,Diesel,MANUAL,01/08/2021,14,42,120299
MarutiAlto,57357,2009,First Owner,Petrol,MANUAL,30/09/2021,6,45,204399
MarutiSwiftDzireVXI1.2BS,77871,2015,First Owner,Petrol,MANUAL,25/03/2021,9,43,481299
HyundaiVernaFLUIDIC1.6SX,57702,2014,Second Owner,Diesel,MANUAL,17/06/2021,5,43,522899
HyundaiElitei20ASTA,19113,2017,First Owner,Petrol,MANUAL,29/01/2022,9,44,642899
MarutiAlto800,47365,2013,First Owner,Petrol,MANUAL,17/09/2021,9,43,257899
MarutiAlto,23251,2007,First Owner,Petrol,MANUAL,19/10/2021,2,46,131999
VolkswagenVentoHIGHLINE1.2TSI,80175,2015,First Owner,Petrol,MH02,Comp,13,39,468299
MarutiSwift,14864,2015,First Owner,Petrol,MANUAL,09/05/2021,6,44,434299
ChevroletCruzeLTZ,141119,2011,First Owner,Diesel,AUTOMATIC,28/03/2021,15,42,258999
ToyotaCorollaAltisD4D,87557,2013,First Owner,Diesel,MANUAL,Expired,12,48,423399
MarutiIGNISDELTA1.2,31925,2017,First Owner,Petrol,MANUAL,17/03/2021,8,45,494999
HyundaiGrandi10Sportz(O)1.2,54496,2017,First Owner,Petrol + CNG,DL4C,Zero_Dep,10,46,520199
HondaCitySMT,143859,2011,Second Owner,Petrol,MANUAL,20/12/2020,10,41,292999
FordEcosport1.5TITANIUM,100187,2015,Second Owner,Diesel,MANUAL,05/02/2022,3,47,576757
MahindraXUV500W8,57221,2013,First Owner,Diesel,MANUAL,29/01/2021,4,42,655899
MarutiSwiftVDI,91280,2015,First Owner,Diesel,MANUAL,10/07/2021,10,44,442399
MarutiSwiftLXI,52022,2008,Second Owner,Petrol,MANUAL,12/02/2021,17,41,210151
MarutiRitz,77317,2009,First Owner,Petrol,MANUAL,22/12/2021,4,39,308399
MarutiSwift,106521,2014,First Owner,Diesel,MANUAL,30/09/2021,11,42,427499
MarutiSwift,74026,2016,First Owner,Diesel,MANUAL,Expired,1,43,490499
HyundaiXcentSX,13652,2017,First Owner,Petrol,MANUAL,14/09/2021,2,47,564599
MarutiCelerioVXI,54845,2016,Second Owner,Petrol + CNG,MANUAL,17/10/2021,8,42,327344
MarutiCelerioVXI,35303,2015,Second Owner,Petrol,AUTOMATIC,03/02/2021,12,44,323699
MarutiVitaraBrezzaVDI,62646,2016,First Owner,Diesel,MANUAL,14/07/2021,10,45,575799
MarutiSwift,35215,2015,Second Owner,Petrol,MANUAL,12/11/2021,6,44,524199
HyundaiGrandi10MAGNA1.2,53151,2015,First Owner,Petrol,MANUAL,23/02/2021,10,43,390699
ChevroletSparkLS,36991,2012,Second Owner,Petrol,MANUAL,04/11/2021,7,39,110599
MarutiAlto,85362,2009,First Owner,Petrol,MANUAL,23/09/2021,6,4,186099
ToyotaInnova2.5VX7STRBS,101927,2014,First Owner,Diesel,MANUAL,17/06/2021,6,46,971199
ToyotaEtios,197898,2012,First Owner,Diesel,MANUAL,27/02/2021,12,49,305999
MarutiSwiftDzireVDIBS,46077,2012,First Owner,Diesel,MANUAL,09/12/2021,10,44,394685
HondaCitySMT,84937,2009,First Owner,Petrol,MANUAL,09/03/2021,18,42,261699
MarutiNewWagon-R1.0Lxi(o),7409,2019,First Owner,Petrol + CNG,MH03,Zero_Dep,3,49,522399
Hyundaii10SPORTZ1.2,64614,2012,First Owner,Petrol,MANUAL,06/09/2021,12,38,240199
HyundaiEonERA,15775,2014,Second Owner,Petrol,MANUAL,25/10/2021,12,44,219399
MarutiAltoK10,38019,2012,First Owner,Petrol,MANUAL,Expired,7,45,189899
MarutiRitzVXIBS,75842,2013,Second Owner,Petrol,MANUAL,23/01/2021,13,4,65
Hyundaii10SPORTZ,102521,2009,Second Owner,Petrol,MANUAL,25/08/2021,8,4,277499
MarutiBalenoZETA1.2,27073,2017,First Owner,Petrol,MANUAL,01/05/2021,5,49,578999
VolkswagenPoloHIGHLINE1.2L,56433,2014,Second Owner,Petrol,MANUAL,19/09/2021,7,43,374599
HyundaiEonERA,40681,2016,First Owner,Petrol,MANUAL,04/07/2021,10,41,343740
MarutiAlto800,18278,2017,First Owner,Petrol,MANUAL,02/11/2021,17,5,336899
MarutiAlto,71021,2010,Second Owner,Petrol,MANUAL,28/02/2021,17,42,251699
MarutiSwiftDzireVDIBS,87800,2012,First Owner,Diesel,MANUAL,18/02/2021,5,44,358199
MarutiWagonR1.0,35373,2010,First Owner,Petrol,MANUAL,19/05/2021,5,35,209699
VolkswagenVentoHIGHLINE,82631,2010,First Owner,Petrol,MANUAL,19/01/2021,8,43,274899
HondaBrio1.2VXATI,93321,2015,First Owner,Petrol,AUTOMATIC,09/07/2021,5,44,386799
MarutiSwiftDzireVXI,56556,2014,First Owner,Petrol,AUTOMATIC,Third_party,3,4,420399
